division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super bantamweight,http://boxrec.com/boxer/14816,2000-05-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Bantamweight"" border=""0"" class=""dLink"">International Boxing Organization World super bantamweight title</a><br><span style=""font-size:10px;"">Mullings down in the 1st &amp; 3rd rounds<br>Ramoni down twice in the 3rd round &amp; down in the 4th round<br>Corner retirement</span></td>",http://boxrec.com/show/17347,http://boxrec.com/boxer/15081,RTD,"Elephant & Castle Centre, Southwark, London",Simon Ramoni,Patrick Mullings,W
heavyweight,http://boxrec.com/boxer/5847,2000-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/9958,http://boxrec.com/boxer/1853,KO,"Madison Square Garden, New York, New York",Lennox Lewis,Michael Grant,W
featherweight,http://boxrec.com/boxer/1816,2000-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World featherweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Featherweight"" border=""0"" class=""dLink"">IBF World featherweight title</a><br></td>",http://boxrec.com/show/9958,http://boxrec.com/boxer/5650,TKO,"Madison Square Garden, New York, New York",Paul Ingle,Junior Jones,W
super welterweight,http://boxrec.com/boxer/7411,2000-04-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Middleweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World super welterweight title</a><br></td>",http://boxrec.com/show/17320,http://boxrec.com/boxer/14696,TKO,"York Hall, Bethnal Green, London",Adrian Stone,Michael Carruth,W
flyweight,http://boxrec.com/boxer/5423,2000-04-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br></td>",http://boxrec.com/show/17318,http://boxrec.com/boxer/3785,PTS,"New Connaught Rooms, Holborn, London",Zolile Mbityi,Sandro Orlando Oviedo,W
cruiserweight,http://boxrec.com/boxer/571,2000-04-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">International Boxing Organization World cruiserweight title</a><br></td>",http://boxrec.com/show/16660,http://boxrec.com/boxer/303,RTD,"Joe Louis Arena, Detroit, Michigan",Thomas Hearns,Uriah Grant,L 
bantamweight,http://boxrec.com/boxer/7872,2000-03-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Bantamweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World bantamweight title</a><br></td>",http://boxrec.com/show/17306,http://boxrec.com/boxer/9279,PTS,"Leisure Centre, Mansfield, Nottinghamshire",Noel Wilders,Kamel Guerfi,W
super featherweight,http://boxrec.com/boxer/5570,2000-02-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World super featherweight title</a><br></td>",http://boxrec.com/show/17281,http://boxrec.com/boxer/6036,TKO,"Sands Centre, Carlisle, Cumbria",Affif Djelti,Charles Shepherd,W
super lightweight,http://boxrec.com/boxer/6444,2000-02-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World super lightweight title</a><br></td>",http://boxrec.com/show/52645,http://boxrec.com/boxer/17083,SD,Pasto,Newton Villarreal,Edwin Vazquez,W
lightweight,http://boxrec.com/boxer/818,1999-12-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Lightweight"" border=""0"" class=""dLink"">International Boxing Organization World lightweight title</a><br></td>",http://boxrec.com/show/21780,http://boxrec.com/boxer/5088,TKO,"York Hall, Bethnal Green, London",Michael Ayers,Tony Miller,W
