boxerid,boxername,alias,birth name,birth place,born,bouts,date.of.death,age.of.death,debut,division,global ID,height.imp,height.cm,KOs,manager/agent,promoter,ranking,reach.in,reach.cm,residence,role,rounds,stance,titles held,US ID,VADA CBP,KO.percent,boxerid.num
http://boxrec.com/boxer/4825,Pastor Humberto Maurin,Vaca Mala,NA,"Salta, Salta, Argentina",1968-11-05,61,NA,NA,1992-03-13,featherweight,4825,5.25,160,44%,NA,NA,NA,65,165,"Salta, Salta, Argentina",Boxer,394,orthodox,NA,NA,NA,0.44,4825
http://boxrec.com/boxer/482805,Sadam Ali,World Kid,NA,"Brooklyn, New York, USA",1988-09-26,25,NA,NA,2009-01-17,super welterweight,482805,5.75,175,56%,NA,NA,"18 / 1,80511 / 322",73,185,"Brooklyn, New York, USA",Boxer  Promoter  ,131,orthodox,NA,077553,NA,0.56,482805
http://boxrec.com/boxer/482863,Marlon Tapales,Maranding Nightmare,Marlon Tanan Tapales,"Tubod, Lanao del Norte, Philippines",1992-03-23,32,NA,NA,2008-07-18,super bantamweight,482863,5.333333333333333,163,41%,NA,NA,"3 / 1,2471 / 73",64.5,164,"Kapatagan, Lanao del Norte, Philippines",Boxer,220,southpaw,NA,067481,NA,0.41,482863
http://boxrec.com/boxer/483,Hector Lizarraga,Papi,NA,Mexico,1966-09-01,55,NA,NA,1985-04-25,featherweight,483,NA,NA,38%,NA,NA,NA,NA,NA,"Fresno, California, USA",Boxer,334,orthodox,NA,012380,NA,0.38,483
http://boxrec.com/boxer/4832,Jose Isaac Marin,NA,NA,"San Jose, Costa Rica",1946-02-13,70,NA,NA,1968-11-15,super featherweight,4832,NA,NA,33%,NA,NA,NA,NA,NA,Costa Rica,Boxer,550,NA,NA,NA,NA,0.33,4832
http://boxrec.com/boxer/483554,Terry Flanagan,'Turbo',NA,"Crumpsall, Lancashire, United Kingdom",1989-06-11,33,NA,NA,2009-01-24,lightweight,483554,5.791666666666667,177,39%,NA,NA,"4 / 1,9851 / 80",NA,NA,"Manchester, Lancashire, United Kingdom",Boxer,178,southpaw,WBO World Lightweight,NA,NA,0.39,483554
http://boxrec.com/boxer/4836,Paulie Ayala,NA,Paul Anthony Ayala,"Fort Worth, Texas, USA",1970-04-22,38,NA,NA,1992-11-27,bantamweight,4836,5.458333333333333,166,32%,NA,NA,NA,66,168,"Fort Worth, Texas, USA",Boxer,307,southpaw,NA,036606,NA,0.32,4836
http://boxrec.com/boxer/483657,Jezreel Corrales,El Invisible,Jezzrel Corrales Gonzalez,"San Miguelito, Panama",1991-07-12,23,NA,NA,2009-02-13,super featherweight,483657,5.5,168,35%,NA,NA,"3 / 1,4451 / 16",67,170,"San Miguelito, Panama",Boxer,127,southpaw,NA,NA,NA,0.35,483657
http://boxrec.com/boxer/483662,Randy Petalcorin,Razor,Randy Formentera Petalcorin,"Davao City, Davao del Sur, Philippines",1991-12-31,29,NA,NA,2009-03-28,light flyweight,483662,5.25,160,66%,Jim Claude Manangquil Peter Maniatis,NA,22 / 4645 / 100,64,162,"General Santos City, Cotabato del Sur, Philippines",Boxer,145,southpaw,NA,NA,enrolled,0.66,483662
http://boxrec.com/boxer/483786,Kazuto Ioka,NA,井岡一翔,"Sakai, Osaka, Japan",1989-03-24,23,NA,NA,2009-04-12,flyweight,483786,5.416666666666667,165,57%,NA,NA,2 / 7421 / 104,66.5,169,"Osaka, Osaka, Japan",Boxer,200,orthodox,WBA World Flyweight,NA,NA,0.57,483786
http://boxrec.com/boxer/484798,Arthur Villanueva,El Matador / King Arthur,Arthur Cordero Villanueva,"Bago City, Negros Occidental, Philippines",1989-01-20,32,NA,NA,2008-11-29,bantamweight,484798,5.416666666666667,165,50%,NA,NA,27 / 9812 / 80,69.5,177,"Bacolod City, Negros Occidental, Philippines",Boxer,218,orthodox,NA,026052,enrolled,0.5,484798
http://boxrec.com/boxer/484828,Darleys Perez,NA,Darley Gregorio Perez Ballestas,"San Pedro de Uraba, Colombia",1983-09-14,38,NA,NA,2009-02-14,super lightweight,484828,5.583333333333333,170,55%,NA,NA,"52 / 1,9011 / 29",70,178,"San Pedro de Uraba, Colombia",Boxer,213,orthodox,NA,016578,NA,0.55,484828
http://boxrec.com/boxer/48498,Gerardo Velasquez,Lalo,NA,"Lima, Ohio, USA",1968-01-02,36,NA,NA,1985-04-23,super lightweight,48498,NA,NA,44%,NA,NA,NA,NA,NA,"Baldwin Park, California, USA",Boxer,176,NA,NA,014789,NA,0.44,48498
http://boxrec.com/boxer/485,Roger Mayweather,Black Mamba,NA,"Grand Rapids, Michigan, USA",1961-04-24,72,NA,NA,1981-07-29,super lightweight,485,5.625,171,49%,NA,NA,NA,73.5,187,"Las Vegas, Nevada, USA",Boxer,516,orthodox,NA,004400,NA,0.49,485
http://boxrec.com/boxer/485166,William Urina,NA,William Urina Serna,"Barranquilla, Colombia",1985-12-20,27,NA,NA,2009-02-14,super flyweight,485166,NA,NA,74%,NA,NA,NA,NA,NA,"Barranquilla, Colombia",Boxer,120,southpaw,NA,NA,NA,0.74,485166
http://boxrec.com/boxer/4854,Julio Alvarez,NA,Julio Alvarez Ramirez,"Huixquilucan, México, Mexico",1972-04-12,33,NA,NA,1991-05-08,super featherweight,4854,5.625,171,55%,NA,NA,NA,69,175,"Mexico City, Distrito Federal, Mexico",Boxer,151,orthodox,NA,032417,NA,0.55,4854
http://boxrec.com/boxer/48574,Chil-Sung Jun,NA,NA,"Shinan, South Korea",1961-07-07,20,NA,NA,1986-03-01,lightweight,48574,5.625,172,55%,NA,NA,NA,NA,NA,"Seoul, South Korea",Boxer,119,orthodox,NA,NA,NA,0.55,48574
http://boxrec.com/boxer/48617,Pedro Villegas,NA,Pedro Florindo Villegas,"Concepcion, Chile",1965-07-07,42,NA,NA,1985-11-01,featherweight,48617,NA,NA,19%,NA,NA,NA,NA,NA,"Godoy Cruz, Mendoza, Argentina",Boxer,313,NA,NA,NA,NA,0.19,48617
http://boxrec.com/boxer/48618,Joey Jacobs,NA,NA,"Manchester, Lancashire, United Kingdom",1960-10-01,15,NA,NA,1986-10-07,lightweight,48618,5.666666666666667,173,13%,NA,NA,NA,NA,NA,"Manchester, Lancashire, United Kingdom",Boxer,107,NA,NA,NA,NA,0.13,48618
http://boxrec.com/boxer/4863,Ernesto Rubillar,Hard Rock,"Ernesto Rubillar, Jr.","Tagum City, Davao del Norte, Philippines",1970-12-26,79,NA,NA,1990-04-21,flyweight,4863,NA,NA,18%,NA,NA,NA,NA,NA,"Tagum City, Davao del Norte, Philippines",Boxer,570,orthodox,NA,NA,NA,0.18,4863
http://boxrec.com/boxer/487,Daniel Zaragoza,El Raton,NA,Mexico,1957-12-11,66,NA,NA,1980-10-17,super bantamweight,487,5.583333333333333,170,42%,NA,NA,NA,68,173,"Mexico City, Distrito Federal, Mexico",Boxer,580,southpaw,NA,NA,NA,0.42,487
http://boxrec.com/boxer/4870,Enrique Areco,El Zurdo/El Negro/Maravilla,NA,"Montecarlo, Misiones, Argentina",1964-04-24,68,NA,NA,1983-02-02,middleweight,4870,5.75,175,19%,NA,NA,NA,NA,NA,"Ciudad Evita, Buenos Aires, Argentina",Boxer,533,southpaw,NA,NA,NA,0.19,4870
http://boxrec.com/boxer/4871,Rafael Torres,NA,NA,"Santiago de los Caballeros, Dominican Republic",1966-04-17,25,NA,NA,1986-03-11,flyweight,4871,NA,NA,12%,NA,NA,NA,NA,NA,"Santiago de los Caballeros, Dominican Republic",Boxer,191,southpaw,NA,021904,NA,0.12,4871
http://boxrec.com/boxer/4872,Robinson Cuesta,NA,NA,"Darien, Panama",1969-05-02,29,NA,NA,1989-08-19,flyweight,4872,NA,NA,55%,NA,NA,NA,NA,NA,"Darien, Panama",Boxer,151,NA,NA,NA,NA,0.55,4872
http://boxrec.com/boxer/4873,Rosendo Alvarez,El Bufalo,Rosendo José Álvarez Hernández,"Ciudad Sandino, Nicaragua",1970-05-06,43,NA,NA,1992-12-12,minimumweight,4873,5.416666666666667,165,56%,NA,NA,NA,65,165,"Managua, Nicaragua",Boxer,291,orthodox,NA,009773,NA,0.56,4873
http://boxrec.com/boxer/487447,Luis Carrillo,Mosquito,Luis Manuel Carrillo Cortez,NA,1989-08-30,27,NA,NA,2009-03-06,super flyweight,487447,5.583333333333333,170,56%,NA,NA,221 / 6905 / 9,NA,NA,NA,Boxer,80,orthodox,NA,NA,NA,0.56,487447
http://boxrec.com/boxer/487507,Mirko Larghetti,NA,NA,"Urbino, Marche, Italy",1982-09-19,26,NA,NA,2009-03-15,cruiserweight,487507,6.041666666666667,184,62%,NA,NA,NA,NA,NA,"Frontino, Marche, Italy",Boxer,133,orthodox,NA,NA,NA,0.62,487507
http://boxrec.com/boxer/487682,Karluis Diaz,NA,Karluis Diaz Perez,"Sahagun, Colombia",1987-03-17,30,NA,NA,2008-12-20,flyweight,487682,NA,NA,50%,NA,NA,114 / 7422 / 9,NA,NA,"Sahagun, Colombia",Boxer,135,orthodox,NA,NA,NA,0.5,487682
http://boxrec.com/boxer/4879,Barry Jones,NA,NA,"Cardiff, Wales, United Kingdom",1974-05-03,20,NA,NA,1992-10-28,super featherweight,4879,5.583333333333333,170,0%,NA,NA,NA,NA,NA,"Cardiff, Wales, United Kingdom",Boxer,135,NA,NA,NA,NA,0,4879
http://boxrec.com/boxer/4880,Rafael Ortiz,La Maravilla,Rafael Antonio Ortiz Luna,NA,NA,16,2015-11-16,NA,1989-10-18,welterweight,4880,NA,NA,25%,NA,NA,NA,NA,NA,"Santo Domingo, Dominican Republic",Boxer,77,NA,NA,NA,NA,0.25,4880
