division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
light flyweight,http://boxrec.com/boxer/10379,1998-03-01,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBA World light flyweight title</a><br></td>",http://boxrec.com/show/9656,http://boxrec.com/boxer/8563,UD,Bangkok,Pichit Chor Siriwat,Kaaj Chartbandit,W
super lightweight,http://boxrec.com/boxer/8454,1998-02-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBA World super lightweight title</a><br></td>",http://boxrec.com/show/8146,http://boxrec.com/boxer/1514,UD,"Palais Omnisport de Paris-Bercy, Paris, Paris",Khalid Rahilou,Jean-Baptiste Mendy,W
bantamweight,http://boxrec.com/boxer/3793,1998-02-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Bantamweight"" border=""0"" class=""dLink"">WBA World bantamweight title</a><br></td>",http://boxrec.com/show/8151,http://boxrec.com/boxer/470,KO,"Estadio Polideportivo, Mar del Plata, Buenos Aires",Nana Yaw Konadu,Abraham Torres,W
super welterweight,http://boxrec.com/boxer/7532,1998-02-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBA World super welterweight title</a><br></td>",http://boxrec.com/show/8138,http://boxrec.com/boxer/1713,PTS,"The Pit - UNM, Albuquerque, New Mexico",Laurent Boudouani,Guillermo Jones,D
super bantamweight,http://boxrec.com/boxer/8541,1998-02-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Bantamweight"" border=""0"" class=""dLink"">vacant WBA World super bantamweight title</a><br></td>",http://boxrec.com/show/9745,http://boxrec.com/boxer/3719,UD,"Harrah's Casino, Lake Charles, Louisiana",Enrique Sanchez,Rafael Del Valle,W
middleweight,http://boxrec.com/boxer/8279,1998-01-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br></td>",http://boxrec.com/show/8121,http://boxrec.com/boxer/4995,UD,"Ice Palace, Tampa, Florida",William Joppy,Julio Cesar Green,W
super flyweight,http://boxrec.com/boxer/5971,1997-12-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBA World super flyweight title</a><br></td>",http://boxrec.com/show/8100,http://boxrec.com/boxer/3868,UD,"Aichi Prefectural Gym, Nagoya, Aichi",Satoshi Iida,Yokthai Sithoar,W
flyweight,http://boxrec.com/boxer/4509,1997-11-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Flyweight"" border=""0"" class=""dLink"">WBA World flyweight title</a><br></td>",http://boxrec.com/show/8046,http://boxrec.com/boxer/3257,TKO,"Osaka-Jo Hall, Osaka, Osaka",Jose Bonilla,Keiji Yamaguchi,W
heavyweight,http://boxrec.com/boxer/499,1997-11-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Heavyweight"" border=""0"" class=""dLink"">WBA World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><span style=""font-size:10px;"">Moorer down 5 times in the fight.</span></td>",http://boxrec.com/show/8021,http://boxrec.com/boxer/1137,RTD,"Thomas & Mack Center, Las Vegas, Nevada",Michael Moorer,Evander Holyfield,L 
cruiserweight,http://boxrec.com/boxer/1689,1997-11-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Cruiserweight"" border=""0"" class=""dLink"">WBA World cruiserweight title</a><br></td>",http://boxrec.com/show/8021,http://boxrec.com/boxer/617,UD,"Thomas & Mack Center, Las Vegas, Nevada",Nate Miller,Fabrice Tiozzo,L 
featherweight,http://boxrec.com/boxer/7452,1997-11-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">WBA World featherweight title</a><br></td>",http://boxrec.com/show/8021,http://boxrec.com/boxer/627,UD,"Thomas & Mack Center, Las Vegas, Nevada",Wilfredo Vazquez,Genaro Rios,W
