division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
featherweight,http://boxrec.com/boxer/9011,1980-02-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br></td>",http://boxrec.com/show/15156,http://boxrec.com/boxer/2201,TKO,"Veteran's Memorial Coliseum, Phoenix, Arizona",Salvador Sanchez,Danny Lopez,W
super flyweight,http://boxrec.com/boxer/1246,1980-02-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">vacant WBC World super flyweight title</a><br></td>",http://boxrec.com/show/56531,http://boxrec.com/boxer/10943,SD,"Nuevo Circo, Caracas",Rafael Orono,Seung-Hoon Lee,W
super featherweight,http://boxrec.com/boxer/2179,1980-01-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br></td>",http://boxrec.com/show/1897,http://boxrec.com/boxer/187,TKO,"Community Center, Tucson, Arizona",Ruben Castillo,Alexis Arguello,L 
light flyweight,http://boxrec.com/boxer/52608,1980-01-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/79510,http://boxrec.com/boxer/10058,UD,"Korakuen Hall, Tokyo",Sung-Jun Kim,Shigeo Nakajima,L 
flyweight,http://boxrec.com/boxer/49167,1979-12-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br><span style=""font-size:10px;"">Park down in rd 1. Espada down twice in rd 1 &amp; once in rd 2 - stopped standing after beating count.</span></td>",http://boxrec.com/show/198167,http://boxrec.com/boxer/10055,TKO,"Kudok Gymnasium, Busan",Chan-Hee Park,Guty Espadas,W
cruiserweight,http://boxrec.com/boxer/854,1979-12-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">vacant WBC World cruiserweight title</a><br></td>",http://boxrec.com/show/32159,http://boxrec.com/boxer/18207,PTS,"Sportski Centar Gripe, Split",Mate Parlov,Marvin Camel,D
middleweight,http://boxrec.com/boxer/11417,1979-11-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br></td>",http://boxrec.com/show/436,http://boxrec.com/boxer/8684,PTS,"Caesars Palace, Las Vegas, Nevada",Marvin Hagler,Vito Antuofermo,D
welterweight,http://boxrec.com/boxer/438,1979-11-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">WBC World welterweight title</a><br></td>",http://boxrec.com/show/436,http://boxrec.com/boxer/269,TKO,"Caesars Palace, Las Vegas, Nevada",Sugar Ray Leonard,Wilfred Benitez,W
super featherweight,http://boxrec.com/boxer/9523,1979-11-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br></td>",http://boxrec.com/show/27869,http://boxrec.com/boxer/2179,RTD,"Forum, Inglewood, California",Alexis Arguello,Bobby Chacon,W
lightweight,http://boxrec.com/boxer/3455,1979-11-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br></td>",http://boxrec.com/show/29789,http://boxrec.com/boxer/9526,TKO,"Kelvin Hall, Glasgow, Scotland",Jim Watt,Robert Vasquez,W
super bantamweight,http://boxrec.com/boxer/8150,1979-10-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBC World super bantamweight title</a><br><span style=""font-size:10px;"">Perez was knocked down three times in the fifth round.</span></td>",http://boxrec.com/show/431,http://boxrec.com/boxer/2542,TKO,"Madison Square Garden, New York, New York",Wilfredo Gomez,Nicky Perez,W
